FILE NAME:  237-207



00:01  00:02	MALE:  nameX.
03:21  03:31	FEMALE:  If you smack -- like, you don't want to smack off of 10 meters, that's like smacking off three meters is bad [unintelligible], you don't need to do it from any more height [laughter].
03:32  03:34	MALE:  So did you do ah, a Wolfe?
03:35  03:37	FEMALE:  I did do Wolfe, how do you know?
03:38  03:38	MALE:  Okay, let me tell you.
03:39  03:40	FEMALE:  Please do.
03:41  03:42	MALE:  Well, I'm Stanford is starting this thing called Spa.  
03:42  03:43	FEMALE:  Okay.
03:44  03:45	MALE:  I don't know if you've heard anything about it.  So Stanford [unintelligible] just like that.
03:45  03:46	FEMALE:  Oh, so is Sarah Rubensoll [phonetic] doing that?
03:46  03:47 	MALE:  Yes.
03:47  03:47	FEMALE:  Okay [laughter].
03:48  03:49	MALE:  And I'm actually like a coordinator with her.
03:50  03:50	FEMALE:  Oh, okay.
03:51  03:51	MALE:  Actually co --
03:51  03:52	FEMALE:  Coordinator?
03:52  03:55	MALE:  Co-coordinator.  So ah, how do you know her?
03:56  04:02	FEMALE:  Ah, I know nameX who knows her, you know.  I know her sister too.  So.
04:03  04:09	MALE:  nameX.  So, this year  we had someone whose sister did a Wolfe [unintelligible] [horn]
04:10  04:12	FEMALE:  All right.
04:13  04:15	MALE:  Good stuff.  So we're hoping to like get there one day.  I went to Princeton for undergrad.
04:16  04:17	FEMALE:  Okay, they had -- yeah.
04:18  04:18	MALE:  [unintelligible] so we can do our thing.
04:19  04:22	FEMALE:  No a Wolfe, I led a trip.  I did food for Wolfe.  I got Wolfe down.
04:23  04:25	MALE:  Well, hopefully one day we'll be like that.  Good to meet you.
04:26  04:27	FEMALE:  Right.  Good to meet you.
04:30  04:31	MALE:  What were you?  Q?
04:31  04:32	FEMALE:  Ah, Q.
