FILE NAME:  237-219



00:01  00:01	MALE:  male219.
03:08  03:41	FEMALE:  Well, basically there are all these movie theaters that are like -- I don't even know if it's second run.  They are a little delayed from the first run.  But basically, it's like the movies is three bucks and they've got -- and then it's a theater.  So there's like a McMenamins [phonetic] like dynasty which are these two brothers who just bought cool property.  So the Bagdad is this old theater like sort of real theater, but like you know with a balcony and everything that they've turned into a movie theater.  The Kennedy School was an elementary school they've turned into a hotel, bar, like cool place.  So like they've got that.  There is this other place called the Laurelhurst which has like multiple screens and all different micro-brew, so a big micro-brew town, lots of different companies.
03:42  03:44	MALE:  This is the place to hang out then.
03:45  03:46	FEMALE:  It's where you hang out, it gives you stuff to do.
03:47  03:48	MALE:  I hadn't heard about that that is cool.
03:48  03:51	FEMALE:  I'm really convinced, like it's this Portland thing and I don't know why other cities don't do it.
03:52  03:53	MALE:  So you drink before and after.
03:54  04:04	FEMALE:  You can do whatever, yeah.  I mean it's like the movie theaters have um, they usually have some sort of table structure, like sort of like you've got seats and some sort of table, something to put your drink down on basically.
04:06  04:07	MALE:  So, it's not like normal seating, seating then.
04:07  04:18	FEMALE:  Um, it's depending on the theater, there are some like so the [horn] that was an old theater, like they took out some rows of seats to put in tables in between and stuff like that.  But, a good time.
04:19  04:20	MALE:  I've only heard good things about Portland myself.
04:21  04:21	FEMALE:  Well, you know.
04:22  04:22	MALE:  Nice meeting you.
04:23  04:23	FEMALE:  Nice to meet you.
